id,name,test1,test2,avg
1,Adi,7,8,7.5
2,Alex,4,6,5.0
3,Alex,7,5,6.0
4,Adi,5,10,7.5
5,Florin,4,6,5.0
6,Adi,5,2,3.5
7,Sorin,6,9,7.5
8,Adi,5,4,4.5
9,Adi,5,4,4.5
10,Sorin,5,9,7.0
11,Florin,4,8,6.0
12,Liviu,5,6,5.5
13,Liviu,4,6,5.0
14,Marian,7,3,5.0
15,Alex,5,6,5.5
16,Sorin,5,7,6.0
17,Felix,4,10,7.0
18,Felix,5,8,6.5
19,Felix,5,4,4.5
20,Liviu,6,7,6.5
21,Adi,6,5,5.5
22,Alex,7,2,4.5
23,Liviu,7,4,5.5
24,Teo,4,7,5.5
25,Marian,6,6,6.0
26,Adi,5,4,4.5
27,Cosmin,6,8,7.0
28,Marian,5,7,6.0
29,Adi,4,5,4.5
30,Marian,4,4,4.0
31,Florin,6,10,8.0
32,Teo,4,7,5.5
33,Felix,7,4,5.5
34,Adi,6,9,7.5
35,Adi,7,7,7.0
36,Adi,4,4,4.0
37,Liviu,4,6,5.0
38,Florin,7,5,6.0
39,Florin,4,4,4.0
40,Marian,7,4,5.5
41,Florin,5,6,5.5
42,Sorin,7,2,4.5
43,Felix,4,3,3.5
44,Sorin,4,8,6.0
45,Liviu,5,2,3.5
46,Alex,6,3,4.5
47,Sorin,6,6,6.0
48,Liviu,5,9,7.0
49,Liviu,4,9,6.5
50,Liviu,5,9,7.0
51,Teo,5,8,6.5
52,Florin,7,8,7.5
53,Marian,7,4,5.5
